CROWD LSTM EXPERIMENT REPORT
Runs: 10 | Seeds: 42, 43, 44, 45, 46, 47, 48, 49, 50, 51
Output directory: C:\Users\12575\Desktop\Baseline Model\Result_0622_1645
==============================================================================

1. OVERALL METRICS (Mean +/- Std)
------------------------------------------------------------------------------
  MAE   : 1056.49 +/- 54.50
  RMSE  : 1456.15 +/- 60.42
  MAPE  : 8.67 +/- 1.18%
  R2    : 0.9934 +/- 0.0005

2. PER-STATION METRICS (Mean +/- Std)
------------------------------------------------------------------------------

  [ikebukuro]
    MAE   : 1485.10 +/- 92.60
    RMSE  : 1966.57 +/- 123.90
    MAPE  : 7.32 +/- 0.69%
    R2    : 0.9814 +/- 0.0024

  [nihonbashi]
    MAE   : 865.69 +/- 119.02
    RMSE  : 1193.61 +/- 129.98
    MAPE  : 11.24 +/- 2.00%
    R2    : 0.9968 +/- 0.0007

  [shibuya]
    MAE   : 746.02 +/- 102.00
    RMSE  : 974.06 +/- 120.34
    MAPE  : 7.74 +/- 1.47%
    R2    : 0.9942 +/- 0.0015

  [shinjuku]
    MAE   : 1129.16 +/- 70.02
    RMSE  : 1483.47 +/- 110.35
    MAPE  : 8.39 +/- 1.52%
    R2    : 0.9945 +/- 0.0008

3. GLOBAL HOURLY METRICS (Mean +/- Std)
------------------------------------------------------------------------------
Hour |                MAE |               RMSE |               MAPE
-------------------------------------------------------------------
0000 |  945.26 +/- 246.99 | 1155.39 +/- 295.85 |    29.51 +/- 9.21%
0001 |  440.79 +/- 163.73 |  561.83 +/- 209.58 |    21.34 +/- 7.81%
0002 |  392.48 +/- 162.83 |  474.67 +/- 157.50 |    17.74 +/- 6.78%
0003 |  444.17 +/- 152.11 |  556.33 +/- 170.47 |    19.19 +/- 7.14%
0004 |  437.15 +/- 155.24 |  541.04 +/- 163.48 |    19.45 +/- 7.20%
0005 |  547.51 +/- 205.18 |  680.69 +/- 210.04 |    19.50 +/- 8.37%
0006 |  841.72 +/- 179.62 | 1055.68 +/- 226.31 |    17.40 +/- 4.19%
0007 |  979.74 +/- 341.10 | 1269.99 +/- 427.04 |     9.75 +/- 3.40%
0008 | 1889.31 +/- 243.59 | 2401.29 +/- 340.70 |     8.87 +/- 1.23%
0009 | 1315.38 +/- 260.86 | 1885.37 +/- 322.77 |     4.83 +/- 1.12%
0010 | 1314.71 +/- 154.11 | 1629.23 +/- 162.37 |     4.20 +/- 0.53%
0011 |  828.28 +/- 160.67 | 1046.42 +/- 214.88 |     2.30 +/- 0.44%
0012 | 1820.94 +/- 315.84 | 2195.49 +/- 335.12 |     4.54 +/- 0.76%
0013 | 1472.21 +/- 312.56 | 1833.79 +/- 346.74 |     3.61 +/- 0.75%
0014 |  811.37 +/- 152.06 | 1036.63 +/- 167.29 |     1.97 +/- 0.35%
0015 |  915.11 +/- 229.45 | 1114.00 +/- 284.28 |     2.14 +/- 0.51%
0016 | 1086.84 +/- 297.46 | 1289.88 +/- 341.22 |     2.51 +/- 0.70%
0017 | 1021.10 +/- 232.42 | 1230.11 +/- 258.61 |     2.30 +/- 0.52%
